,time,lat,lon,t_abs
361382,2017-05-16T24:00:00Z,27.5,67.5,34.405
361383,2017-05-16T24:00:00Z,27.5,72.5,35.22
361384,2017-05-16T24:00:00Z,27.5,77.5,34.1125
361385,2017-05-16T24:00:00Z,27.5,82.5,33.13
361386,2017-05-16T24:00:00Z,27.5,87.5,3.56
361387,2017-05-16T24:00:00Z,27.5,92.5,16.0325
361388,2017-05-16T24:00:00Z,27.5,97.5,14.77
361389,2017-05-16T24:00:00Z,27.5,102.5,17.619333
361390,2017-05-16T24:00:00Z,27.5,107.5,21.047695
361391,2017-05-16T24:00:00Z,27.5,112.5,22.804667
361392,2017-05-16T24:00:00Z,27.5,117.5,22.927647
361393,2017-05-16T24:00:00Z,27.5,122.5,22.52
361394,2017-05-16T24:00:00Z,27.5,127.5,23.394285
361395,2017-05-16T24:00:00Z,27.5,132.5,23.81
361396,2017-05-16T24:00:00Z,27.5,142.5,24.31
361397,2017-05-16T24:00:00Z,32.5,-117.5,18.65647
361398,2017-05-16T24:00:00Z,32.5,-112.5,25.237143
361399,2017-05-16T24:00:00Z,32.5,-107.5,21.086668
361400,2017-05-16T24:00:00Z,32.5,-102.5,21.404167
361401,2017-05-16T24:00:00Z,32.5,-97.5,22.627144
361402,2017-05-16T24:00:00Z,32.5,-92.5,21.702143
361403,2017-05-16T24:00:00Z,32.5,-87.5,22.219696
361404,2017-05-16T24:00:00Z,32.5,-82.5,22.724573
361405,2017-05-16T24:00:00Z,32.5,-77.5,22.517502
361406,2017-05-16T24:00:00Z,32.5,-62.5,22.43
361407,2017-05-16T24:00:00Z,32.5,-17.5,19.866667
361408,2017-05-16T24:00:00Z,32.5,-7.5,22.1525
361409,2017-05-16T24:00:00Z,32.5,-2.5,25.176252
361410,2017-05-16T24:00:00Z,32.5,2.5,25.912498
361411,2017-05-16T24:00:00Z,32.5,7.5,27.8575
361412,2017-05-16T24:00:00Z,32.5,12.5,22.841108
361413,2017-05-16T24:00:00Z,32.5,17.5,22.63
361414,2017-05-16T24:00:00Z,32.5,27.5,22.266668
361415,2017-05-16T24:00:00Z,32.5,32.5,22.936666
361416,2017-05-16T24:00:00Z,32.5,37.5,22.537777
361417,2017-05-16T24:00:00Z,32.5,47.5,24.37857
361418,2017-05-16T24:00:00Z,32.5,52.5,23.316
361419,2017-05-16T24:00:00Z,32.5,57.5,27.473999
361420,2017-05-16T24:00:00Z,32.5,62.5,32.61
361421,2017-05-16T24:00:00Z,32.5,67.5,27.95
361422,2017-05-16T24:00:00Z,32.5,72.5,30.445
361423,2017-05-16T24:00:00Z,32.5,77.5,30.185
361424,2017-05-16T24:00:00Z,32.5,82.5,6.18
361425,2017-05-16T24:00:00Z,32.5,87.5,4.35
361426,2017-05-16T24:00:00Z,32.5,92.5,4.17
361427,2017-05-16T24:00:00Z,32.5,97.5,8.130001
361428,2017-05-16T24:00:00Z,32.5,102.5,12.431667
361429,2017-05-16T24:00:00Z,32.5,107.5,21.33
361430,2017-05-16T24:00:00Z,32.5,112.5,22.408667
361431,2017-05-16T24:00:00Z,32.5,117.5,22.16154
361432,2017-05-16T24:00:00Z,32.5,122.5,21.436249
361433,2017-05-16T24:00:00Z,32.5,127.5,19.342144
361434,2017-05-16T24:00:00Z,32.5,132.5,19.8258
361435,2017-05-16T24:00:00Z,32.5,137.5,20.044546
361436,2017-05-16T24:00:00Z,37.5,-122.5,17.377779
361437,2017-05-16T24:00:00Z,37.5,-117.5,21.09357
361438,2017-05-16T24:00:00Z,37.5,-112.5,15.994166
361439,2017-05-16T24:00:00Z,37.5,-107.5,14.098572
361440,2017-05-16T24:00:00Z,37.5,-102.5,15.083889
361441,2017-05-16T24:00:00Z,37.5,-97.5,18.641212
361442,2017-05-16T24:00:00Z,37.5,-92.5,18.722143
361443,2017-05-16T24:00:00Z,37.5,-87.5,19.195387
361444,2017-05-16T24:00:00Z,37.5,-82.5,17.60216
361445,2017-05-16T24:00:00Z,37.5,-77.5,18.687359
361446,2017-05-16T24:00:00Z,37.5,-72.5,16.296667
