date,lat,lon,t_abs
2017-05-16,32.5,102.5,12.431667
2017-05-16,32.5,107.5,21.33
2017-05-16,32.5,112.5,22.408667
2017-05-16,32.5,117.5,22.16154
2017-05-16,32.5,122.5,21.436249
2017-05-16,32.5,127.5,19.342144
2017-05-16,32.5,132.5,19.8258
2017-05-16,32.5,137.5,20.044546
2017-05-16,37.5,-122.5,17.377779
2017-05-16,37.5,-117.5,21.09357
2017-05-16,37.5,-112.5,15.994166
2017-05-16,37.5,-107.5,14.098572
2017-05-16,37.5,-102.5,15.083889
2017-05-16,37.5,-97.5,18.641212
2017-05-16,37.5,-92.5,18.722143
2017-05-16,37.5,-87.5,19.195387
2017-05-16,37.5,-82.5,17.60216
2017-05-16,37.5,-77.5,18.687359
2017-05-16,37.5,-72.5,16.296667
2017-05-16,37.5,-32.5,16.57
2017-05-16,37.5,-27.5,16.866001
2017-05-16,37.5,-7.5,19.867895
2017-05-16,37.5,-2.5,20.804665
2017-05-16,37.5,2.5,23.012222
2017-05-16,37.5,7.5,20.439999
2017-05-16,37.5,12.5,20.681427
2017-05-16,37.5,17.5,18.58125
2017-05-16,37.5,22.5,19.712858
2017-05-16,37.5,27.5,19.88143
2017-05-16,37.5,32.5,17.232859
2017-05-16,37.5,37.5,19.403078
2017-05-16,37.5,42.5,15.603999
2017-05-16,37.5,47.5,18.836924
2017-05-16,37.5,52.5,22.062
2017-05-16,37.5,57.5,24.682003
2017-05-16,37.5,62.5,26.287142
2017-05-16,37.5,67.5,26.135
2017-05-16,37.5,72.5,16.53
2017-05-16,37.5,77.5,23.2
2017-05-16,37.5,87.5,22.19
2017-05-16,37.5,92.5,8.580001
2017-05-16,37.5,97.5,12.0275
2017-05-16,37.5,102.5,11.455001
2017-05-16,37.5,107.5,17.543636
2017-05-16,37.5,112.5,20.566154
2017-05-16,37.5,117.5,22.064116
2017-05-16,37.5,122.5,18.29125
2017-05-16,37.5,127.5,18.554771
2017-05-16,37.5,132.5,18.86
2017-05-16,37.5,137.5,18.044106
2017-05-16,37.5,142.5,17.281906
2017-05-16,42.5,-122.5,14.301999
2017-05-16,42.5,-117.5,14.502501
2017-05-16,42.5,-112.5,12.058572
2017-05-16,42.5,-107.5,11.583846
2017-05-16,42.5,-102.5,13.09706
2017-05-16,42.5,-97.5,15.342247
