date,lat,lon,rh_anoms
2017-05-16,52.5,52.5,-2.0483372
2017-05-16,52.5,57.5,-1.6099783
2017-05-16,52.5,62.5,1.077885
2017-05-16,52.5,67.5,-4.7202196
2017-05-16,52.5,72.5,-5.1457276
2017-05-16,52.5,77.5,-5.3462315
2017-05-16,52.5,82.5,-3.8260088
2017-05-16,52.5,87.5,-2.9349062
2017-05-16,52.5,92.5,0.52407515
2017-05-16,52.5,97.5,-4.6043105
2017-05-16,52.5,102.5,-0.26038826
2017-05-16,52.5,107.5,-1.1270523
2017-05-16,52.5,112.5,-3.3265417
2017-05-16,52.5,117.5,-1.6798946
2017-05-16,52.5,122.5,2.4699461
2017-05-16,52.5,127.5,-0.31862655
2017-05-16,52.5,132.5,-1.3862801
2017-05-16,52.5,137.5,-3.7264168
2017-05-16,52.5,142.5,-4.3165
2017-05-16,52.5,157.5,-1.6990938
2017-05-16,57.5,-167.5,1.6056522
2017-05-16,57.5,-162.5,1.6361697
2017-05-16,57.5,-157.5,1.9440159
2017-05-16,57.5,-152.5,-0.73330796
2017-05-16,57.5,-137.5,2.9317977
2017-05-16,57.5,-132.5,0.2831587
2017-05-16,57.5,-127.5,4.800667
2017-05-16,57.5,-122.5,2.516348
2017-05-16,57.5,-117.5,0.61449796
2017-05-16,57.5,-112.5,-0.99029636
2017-05-16,57.5,-107.5,3.698
2017-05-16,57.5,-102.5,7.5802197
2017-05-16,57.5,-97.5,-1.3751724
2017-05-16,57.5,-92.5,1.9884483
2017-05-16,57.5,-67.5,-0.94586205
2017-05-16,57.5,-47.5,3.4338462
2017-05-16,57.5,-7.5,-1.2439022
2017-05-16,57.5,-2.5,0.28985387
2017-05-16,57.5,2.5,2.6784918
2017-05-16,57.5,7.5,2.1529565
2017-05-16,57.5,12.5,0.122859135
2017-05-16,57.5,17.5,-3.4592779
2017-05-16,57.5,22.5,-4.786668
2017-05-16,57.5,27.5,-6.133647
2017-05-16,57.5,32.5,-6.364113
2017-05-16,57.5,37.5,-2.4683714
2017-05-16,57.5,42.5,-2.7598484
2017-05-16,57.5,47.5,-0.38743392
2017-05-16,57.5,52.5,-1.2865936
2017-05-16,57.5,57.5,-3.7578654
2017-05-16,57.5,62.5,-4.938424
2017-05-16,57.5,67.5,-0.6141269
2017-05-16,57.5,72.5,-2.5473075
2017-05-16,57.5,77.5,-3.3284714
2017-05-16,57.5,82.5,-2.7415695
2017-05-16,57.5,87.5,0.29130015
2017-05-16,57.5,92.5,-0.21693408
2017-05-16,57.5,97.5,1.4365027
2017-05-16,57.5,102.5,-0.87074995
2017-05-16,57.5,107.5,-4.0614867
2017-05-16,57.5,112.5,-2.4638102
2017-05-16,57.5,117.5,-3.4510345
2017-05-16,57.5,122.5,2.08248
2017-05-16,57.5,127.5,1.1266667
2017-05-16,57.5,132.5,0.2357974
2017-05-16,57.5,137.5,-0.4646141
2017-05-16,57.5,142.5,-1.4136667
2017-05-16,57.5,152.5,-0.6756667
2017-05-16,57.5,162.5,-1.8914224
2017-05-16,57.5,167.5,0.34666666
2017-05-16,62.5,-172.5,-0.5597916
2017-05-16,62.5,-167.5,-2.5381482
2017-05-16,62.5,-162.5,-2.240926
2017-05-16,62.5,-157.5,1.3296552
2017-05-16,62.5,-152.5,2.0930238
2017-05-16,62.5,-147.5,2.1074333
2017-05-16,62.5,-137.5,1.6898798
2017-05-16,62.5,-132.5,-3.873611
2017-05-16,62.5,-127.5,-2.872881
2017-05-16,62.5,-122.5,-2.2613332
2017-05-16,62.5,-117.5,-0.73007935
2017-05-16,62.5,-112.5,-1.9268334
2017-05-16,62.5,-107.5,-0.064347826
2017-05-16,62.5,-92.5,1.0986207
2017-05-16,62.5,-82.5,-0.5855172
2017-05-16,62.5,-67.5,-0.9293333
2017-05-16,62.5,-52.5,7.612278
2017-05-16,62.5,-47.5,7.605071
2017-05-16,62.5,-42.5,4.41476
2017-05-16,62.5,-22.5,4.968037
2017-05-16,62.5,-17.5,5.40287
2017-05-16,62.5,-7.5,6.2303333
2017-05-16,62.5,-2.5,3.451086
2017-05-16,62.5,2.5,1.7384881
2017-05-16,62.5,7.5,0.88316494
2017-05-16,62.5,12.5,0.82369626
2017-05-16,62.5,17.5,-3.073145
2017-05-16,62.5,22.5,-2.4226766
2017-05-16,62.5,27.5,-3.7492087
2017-05-16,62.5,32.5,-2.5563722
2017-05-16,62.5,37.5,-3.5536726
2017-05-16,62.5,42.5,-2.9444244
2017-05-16,62.5,47.5,-1.8155259
2017-05-16,62.5,52.5,1.3873937
2017-05-16,62.5,57.5,1.7534881
2017-05-16,62.5,62.5,-0.84262097
2017-05-16,62.5,67.5,0.9952469
2017-05-16,62.5,72.5,6.074458
2017-05-16,62.5,77.5,2.3402221
2017-05-16,62.5,82.5,4.7126665
2017-05-16,62.5,87.5,1.6825699
2017-05-16,62.5,92.5,2.631
2017-05-16,62.5,102.5,0.67296296
2017-05-16,62.5,107.5,1.7628572
